Bioguide_ID,Name,Gender,Party,Born,Number_of_House_Terms,District,TBIP_Floor_Speeches,Standardized_Speech_Ideal_Point
S001213,Bryan Steil,M,Republican,1981,3,WI-01,0.3577340245246887,1.281648693105115
S001214,Greg Steube,M,Republican,1978,3,FL-17,0.26246923208236694,0.9484064222593412
S001215,Haley Stevens,F,Democrat,1983,3,MI-11,-0.18040741980075836,-0.6008041244120498
S001216,Kim Schrier,F,Democrat,1968,3,WA-08,-0.12096624821424484,-0.39287514568450965
S001218,Melanie Ann Stansbury,F,Democrat,1979,2,NM-01,-0.3917006254196167,-1.339921125032634
S001221,Hillary Scholten,F,Democrat,1982,1,MI-03,-0.2697545289993286,-0.9133459648917184
S001222,George Devolder-Santos,M,Republican,1988,1,NY-03,0.1126013696193695,0.4241591580435606
S001223,Emilia Sykes,F,Democrat,1986,1,OH-13,-0.18833255767822266,-0.6285267580875606
S001224,Keith Self,M,Republican,1953,1,TX-03,0.2931593954563141,1.0557625553402383
S001225,Eric Sorensen (politician),M,Democrat,1976,1,IL-17,-0.4432212710380554,-1.520143602835478
S001226,Andrea Salinas,F,Democrat,1969,1,OR-06,-0.2613314986228943,-0.8838816717558744
T000165,Tom Tiffany,M,Republican,1957,3,WI-07,0.2762733995914459,0.9966942735202998
T000193,Bennie Thompson,M,Democrat,1948,16,MS-02,-0.2113923877477646,-0.709191502540181
T000460,Mike Thompson (California),M,Democrat,1951,13,CA-04,-0.36186790466308594,-1.2355643804731653
T000467,Glenn Thompson (Pennsylvania),M,Republican,1959,8,PA-15,0.17251287400722504,0.6337333906655798
T000468,Dina Titus,F,Democrat,1950,7,NV-01,-0.06499426066875458,-0.19708159220877444
T000469,Paul Tonko,M,Democrat,1949,8,NY-20,-0.28190329670906067,-0.9558431229264676
T000472,Mark Takano,M,Democrat,1960,6,CA-39,-0.19402651488780975,-0.6484445806322356
T000478,Claudia Tenney,F,Republican,1961,3,NY-24,0.24363654851913452,0.8825285037142379
T000481,Rashida Tlaib,F,Democrat,1976,3,MI-12,-0.45768412947654724,-1.5707355966392962
T000487,Jill Tokuda,F,Democrat,1976,1,HI-02,-0.1769275963306427,-0.5886314817641811
U000040,Lauren Underwood,F,Democrat,1986,3,IL-14,-0.28116559982299805,-0.953262612548972
V000081,Nydia Velazquez,F,Democrat,1953,16,NY-07,-0.17430350184440613,-0.5794522332392154
V000129,David G. Valadao,M,Republican,1977,5,CA-22,0.2186492383480072,0.7951213119251448
V000131,Marc Veasey,M,Democrat,1971,6,TX-33,0.039232827723026276,0.1675113568636682
V000133,Jeff Van Drew,M,Republican,1953,3,NJ-02,0.17980818450450897,0.659252848319485
V000134,Beth Van Duyne,F,Republican,1970,2,TX-24,0.1560206413269043,0.5760425173764318
V000136,Gabriel Vasquez,M,Democrat,1984,1,NM-02,-0.2012927383184433,-0.6738622898868183
W000187,Maxine Waters,F,Democrat,1938,17,CA-43,-0.08634553104639053,-0.27176968676787805
W000795,Joe Wilson,M,Republican,1947,12,SC-02,0.7609209418296814,2.6920220372697052
W000797,Debbie Wasserman Schultz,F,Democrat,1966,10,FL-25,-0.29488304257392883,-1.001247095119327
W000798,Tim Walberg,M,Republican,1951,8,MI-05,0.3241676986217499,1.164231561538728
W000809,Steve Womack,M,Republican,1957,7,AR-03,0.1947271078824997,0.7114401861344055
W000812,Ann Wagner,F,Republican,1962,6,MO-02,0.17660382390022278,0.6480437922033172
W000814,Randy Weber,M,Republican,1953,6,TX-14,0.20902252197265625,0.7614464490144587
W000815,Brad Wenstrup,M,Republican,1958,6,OH-02,0.13160941004753113,0.4906504859960563
W000816,Roger Williams,M,Republican,1949,6,TX-25,0.40940842032432556,1.4624089987687234
W000821,Bruce Westerman,M,Republican,1967,5,AR-04,0.28528937697410583,1.028232732796436
W000822,Bonnie Watson Coleman,F,Democrat,1945,5,NJ-12,-0.4033915102481842,-1.3808165797813232
W000825,Jennifer Wexton,F,Democrat,1968,3,VA-10,-0.23688578605651855,-0.7983690226521214
W000826,Susan Wild,F,Democrat,1957,4,PA-07,-0.31805819272994995,-1.082315236530123
W000828,Brandon Williams (New York),M,Republican,1967,1,NY-22,0.09316641837358475,0.35617446904270594
Y000067,Rudy Yakym,M,Republican,1984,2,IN-02,0.16727931797504425,0.615426080566537
